ORIGINOWNERID,GENERALCAUSE,SPECIFICCAUSE,ORIGINSLOPE,ORIGINASPECT,ORIGINELEVATION,ORIGINTOWNSHIP,ORIGINRANGE,ORIGINSECTION,ORIGINMERIDIAN,PRIMARYFUELTYPE,FALSEALARM,WFUFIRE,FIRECAUSE
PRI,,Miscellaneous,0-25,Flat,0501-1500,018N,002E,23,Seward,,N,N,Human
NCA,,Campfire,0-25,West,0501-1500,031S,028W,29,Seward,,N,N,Human
PRI,,Field Burn,0-25,Flat,0-500,017N,001W,26,Seward,,N,N,Human
PRI,,Field Burn,0-25,Flat,0-500,001S,002W,24,Fairbanks,,N,N,Human
PRI,,TRASH BURN,0-25,Flat,0-500,017N,002E,15,Seward,,N,N,Human
PRI,,Field Burn,0-25,East,0501-1500,006S,013W,2,Seward,,N,N,Human
PRI,,BURNING BUILDING,0-25,Flat,0-500,017N,001W,8,Seward,,N,N,Human
NCA,,Field Burn,0-25,Flat,0-500,024N,079W,23,Seward,,N,N,Human
PRI,,Vehicle,0-25,Flat,0-500,017N,002E,26,Seward,,N,N,Human
PRI,,Campfire,0-25,Flat,0-500,001S,001W,23,Fairbanks,,N,N,Human
PRI,,LAND CLEAR,0-25,Flat,0-500,002S,014W,11,Seward,,N,N,Human
PRI,,TRASH BURN,0-25,Flat,0-500,003N,012W,25,Seward,,N,N,Human
PRI,,TRASH BURN,0-25,Flat,0-500,016N,003W,24,Seward,,N,N,Human
MIL,,Incendiary,0-25,Flat,0501-1500,002S,007E,31,Fairbanks,,N,N,Human
PRI,,TRASH BURN,0-25,South West,0501-1500,005S,012W,31,Seward,,N,N,Human
PRI,,BURNING BUILDING,0-25,Flat,0501-1500,005S,004E,22,Fairbanks,,N,N,Human
MIL,,Incendiary,0-25,Flat,0501-1500,010S,007E,25,Fairbanks,,N,N,Human
PRI,,Miscellaneous,0-25,Flat,0-500,017N,001E,14,Seward,,N,N,Human
NPS,,Lightning,0-25,Flat,0501-1500,004N,030E,6,Fairbanks,,N,N,Natural
MIL,,Incendiary,0-25,Flat,0501-1500,010S,007E,26,Fairbanks,,N,N,Human
STA,,Miscellaneous,0-25,Flat,0501-1500,018N,001E,8,Seward,,N,N,Human
BIA,,Campfire,0-25,Flat,0501-1500,004S,007E,20,Copper River,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0501-1500,010S,011E,24,Fairbanks,,N,N,Human
STA,,Campfire,0-25,Flat,0501-1500,002S,005W,28,Fairbanks,,N,N,Human
PRI,,Powerline,0-25,Flat,0-500,003N,011W,20,Seward,,N,N,Human
STA,,Powerline, , , ,003N,012W,28,Seward,,N,N,Human
STA,,Campfire,26-40,North,2501-3500,015N,010E,16,Copper River,,N,N,Human
STA,,Campfire,0-25,Flat,0-500,003S,006W,21,Fairbanks,,N,N,Human
,,,0-25,South West,1501-2500,004N,030E,24,Fairbanks,,N,N,Undetermined
PRI,,Campfire,0-25,Flat,1501-2500,007N,007W,20,Copper River,,N,N,Human
PRI,,Slash Burn,0-25,Flat,1501-2500,007N,007W,35,Copper River,,N,N,Human
NCA,,Other,0-25,Flat,0-500,001N,014W,7,Fairbanks,,N,N,Human
FWS,,Campfire,0-25,Flat,1501-2500,010N,022E,13,Copper River,,N,N,Human
STA,,Powerline,0-25,Flat,0-500,002S,014W,10,Seward,,N,N,Human
BIA,,Burning Building,0-25,Flat,0501-1500,020N,026E,20,Kateel River,,N,N,Human
STA,,Smoking,0-25,Flat,0501-1500,001N,002E,29,Fairbanks,,N,N,Human
STA,,Vehicle,0-25,Flat,1501-2500,003N,008W,28,Copper River,,N,N,Human
NCA,,Campfire,0-25,Flat,1501-2500,015N,019E,33,Copper River,,N,N,Human
FWS,,Campfire,0-25,North,0-500,004N,007W,4,Seward,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0501-1500,009S,010E,27,Fairbanks,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0-500,023N,004W,34,Seward,,N,N,Human
PRI,,Other,0-25,Flat,1501-2500,018N,012E,27,Copper River,,N,N,Human
NCA,,Campfire,0-25,Flat,0501-1500,006N,001W,24,Copper River,,N,N,Human
STA,,Other,0-25,South West,0-500,028S,059E,11,Copper River,,N,N,Human
FWS,,Lightning,0-25,Flat,0501-1500,012N,006E,9,Fairbanks,,N,N,Natural
FWS,,Campfire,0-25,Flat,0-500,004N,008W,1,Seward,,N,N,Human
NCA,,Exhaust, , , ,073S,079E,5,Copper River,,N,N,Human
PRI,,Burning Building,0-25,Flat,0501-1500,020N,005E,26,Seward,,N,N,Human
PRI,,Campfire,0-25,Flat,0-500,001S,001W,6,Fairbanks,,N,N,Human
PRI,,Powerline,0-25,Flat,0501-1500,001N,001E,9,Fairbanks,,N,N,Human
PRI,,Recurrent,0-25,Flat,0-500,001S,002W,22,Fairbanks,,N,N,?
USFS,,Recurrent,0-25,Flat,0-500,060S,085E,11,Copper River,,N,N,?
NCA,,Lightning,0-25,Flat,1501-2500,015N,014E,25,Copper River,,N,N,Natural
NPS,,Lightning,0-25,Flat,2501-3500,005S,023E,12,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,0501-1500,013N,020E,16,Kateel River,,N,N,Natural
PRI,,Land Clearing,0-25,Flat,0501-1500,002S,002E,24,Fairbanks,,N,N,Human
BLM,,Lightning,0-25,Flat,1501-2500,017N,014W,32,Fairbanks,,N,N,Natural
FWS,,Lightning,0-25,Flat,0501-1500,019N,006W,27,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,0501-1500,004N,011W,16,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,South East,0501-1500,007N,024W,23,Fairbanks,,N,N,Natural
BLM,,Lightning,26-40,North East,3501-4500,029N,011W,25,Fairbanks,,N,N,Natural
NCA,,Lightning,0-25,Flat,0501-1500,020N,022W,3,Fairbanks,,N,N,Natural
FWS,,Lightning,0-25,Flat,0501-1500,016N,022W,29,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,1501-2500,011N,019W,14,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,West,1501-2500,010N,022W,15,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,0501-1500,026N,001E,7,Fairbanks,,N,N,Natural
FWS,,Lightning,0-25,Flat,1501-2500,021N,010W,14,Fairbanks,,N,N,Natural
FWS,,Lightning,0-25,Flat,0-500,010S,026E,17,Kateel River,,N,N,Natural
FWS,,Lightning,0-25,Flat,0-500,010S,025E,10,Kateel River,,N,N,Natural
NCA,,Lightning,0-25,Flat,0-500,009S,011E,1,Kateel River,,N,N,Natural
BLM,,Lightning,0-25,Flat,0-500,022N,010W,28,Kateel River,,N,N,Natural
NCA,,Campfire,0-25,Flat,0501-1500,006N,001W,26,Copper River,,N,N,Human
PRI,,Burning Building,0-25,Flat,0501-1500,006S,004E,15,Fairbanks,,N,N,Human
STA,,Other,0-25,Flat,0-500,018N,003W,21,Seward,,N,N,Human
NPS,,Lightning,0-25,South,1501-2500,031N,015W,35,Fairbanks,,N,N,Natural
NCA,,Lightning,0-25,Flat,0-500,020N,022W,9,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,0501-1500,005S,017W,34,Fairbanks,,N,N,Natural
FWS,,Lightning,0-25,Flat,0-500,017N,021W,31,Fairbanks,,N,N,Natural
FWS,,Lightning,0-25,Flat,0-500,011S,024E,17,Kateel River,,N,N,Natural
STA,,Lightning,0-25,West,0501-1500,004S,020E,29,Kateel River,,N,N,Natural
NPS,,Lightning,0-25,Flat,0501-1500,016N,020E,12,Kateel River,,N,N,Natural
NCA,,Lightning,0-25,South,0501-1500,007S,003E,16,Kateel River,,N,N,Natural
STA,,Lightning,0-25,East,1501-2500,020N,018E,35,Kateel River,,N,N,Natural
NCA,,Lightning,0-25,East,0501-1500,024N,020W,12,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,1501-2500,006N,003E,29,Fairbanks,,N,N,Natural
NCA,,Lightning,0-25,Flat,0501-1500,022N,024W,28,Fairbanks,,N,N,Natural
NCA,,Lightning,0-25,Flat,0-500,014N,007W,2,Fairbanks,,N,N,Natural
NCA,,Lightning,0-25,Flat,0501-1500,025N,019W,23,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,0501-1500,014N,011W,7,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,0501-1500,015N,023E,14,Kateel River,,N,N,Natural
STA,,Lightning,0-25,Flat,0501-1500,016N,023E,21,Kateel River,,N,N,Natural
FWS,,Lightning,0-25,Flat,0-500,009S,020E,3,Kateel River,,N,N,Natural
BLM,,Lightning,0-25,Flat,0501-1500,003S,027W,30,Kateel River,,N,N,Natural
FWS,,Lightning,0-25,Flat,0-500,029S,002W,4,Kateel River,,N,N,Natural
FWS,,Lightning,0-25,Flat,0-500,003N,010E,26,Kateel River,,N,N,Natural
NPS,,Lightning,0-25,Flat,0-500,021N,005W,2,Kateel River,,N,N,Natural
NCA,,Lightning,0-25,Flat,0-500,005S,006E,24,Kateel River,,N,N,Natural
FWS,,Lightning,0-25,Flat,0-500,007S,010E,11,Kateel River,,N,N,Natural
FWS,,Lightning,0-25,Flat,0-500,006S,010E,26,Kateel River,,N,N,Natural
BLM,,Lightning,0-25,Flat,0-500,014N,007E,13,Kateel River,,N,N,Natural
FWS,,Lightning,0-25,Flat,0501-1500,012N,007E,17,Kateel River,,N,N,Natural
BLM,,Lightning,0-25,Flat,0501-1500,011N,008E,13,Kateel River,,N,N,Natural
NCA,,Campfire,0-25,Flat,1501-2500,001S,002W,20,Copper River,,N,N,Human
PRI,,Campfire,0-25,Flat,0-500,017N,004W,32,Seward,,N,N,Human
PRI,,Insect Control,0-25,Flat,0-500,017N,001W,15,Seward,,N,N,Human
STA,,Lightning,0-25,North East,1501-2500,031N,019W,14,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,0501-1500,025N,020W,11,Fairbanks,,N,N,Natural
NCA,,Lightning,0-25,Flat,0-500,005N,021W,35,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,1501-2500,005N,001W,34,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,0501-1500,015N,024E,16,Kateel River,,N,N,Natural
BLM,,Lightning,0-25,Flat,0501-1500,013N,012E,13,Kateel River,,N,N,Natural
FWS,,Lightning,0-25,Flat,0-500,002N,012E,7,Kateel River,,N,N,Natural
PRI,,Burning Building,0-25,Flat,0501-1500,001S,001E,11,Copper River,,N,N,Human
NCA,,Burning Dump,0-25,Flat,0-500,020N,012E,9,Fairbanks,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,015N,001W,30,Seward,,N,N,Human
PRI,,Campfire,0-25,Flat,0-500,017N,002E,15,Seward,,N,N,Human
STA,,Lightning,0-25,Flat,0501-1500,033N,040W,36,Seward,,N,N,Natural
FWS,,Campfire,0-25,Flat,0-500,005N,006W,36,Seward,,N,N,Human
PRI,,Children,0-25,Flat,0-500,002S,002E,9,Fairbanks,,N,N,Human
PRI,,Fireworks,0-25,Flat,0501-1500,004N,002W,25,Copper River,,N,N,Human
NPS,,Lightning,0-25,West,0501-1500,022N,019E,35,Kateel River,,N,N,Natural
 ,,, , , ,,,,,,N,N,Human
STA,,Vehicle,0-25,Flat,0-500,017N,002E,35,Seward,,N,N,Human
STA,,Lightning,0-25,South East,1501-2500,020N,011E,15,Copper River,,N,N,Natural
PRI,,Other,0-25,Flat,0501-1500,006S,014W,1,Seward,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,018N,003W,33,Seward,,N,N,Human
PRI,,Children,0-25,Flat,0-500,017N,002E,18,Seward,,N,N,Human
BORO,,Lightning,0-25,South East,0501-1500,003N,002W,13,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,West,1501-2500,001S,011E,21,Fairbanks,,N,N,Natural
NCA,,Burning Building,0-25,Flat,0501-1500,003S,005E,9,Copper River,,N,N,Human
PRI,,Powerline,0-25,Flat,0501-1500,001N,002W,35,Fairbanks,,N,N,Human
NCA,,Campfire,0-25,Flat,0-500,023S,050W,3,Seward,,N,N,Human
PRI,,Campfire,0-25,Flat,0501-1500,016N,005E,20,Seward,,N,N,Human
PRI,,Children,0-25,Flat,0-500,018N,001E,29,Seward,,N,N,Human
PRI,,Fireworks,0-25,Flat,0-500,001S,001W,15,Fairbanks,,N,N,Human
PRI,,Fireworks,0-25,Flat,0-500,017N,002W,16,Seward,,N,N,Human
NPS,,Lightning,0-25,Flat,1501-2500,014S,014W,15,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,0501-1500,005S,007E,27,Fairbanks,,N,N,Natural
STA,,Other,0-25,Flat,0-500,014N,006W,10,Seward,,N,N,Human
PRI,,Other,0-25,Flat,0-500,018N,002W,29,Seward,,N,N,Human
PRI,,Other,0-25,North,0-500,017N,002E,23,Seward,,N,N,Human
NCA,,Campfire,0-25,Flat,1501-2500,006N,001W,22,Copper River,,N,N,Human
PRI,,Fireworks,0-25,Flat,0-500,017N,002W,10,Seward,,N,N,Human
PRI,,Smoking,0-25,Flat,0-500,005N,010W,29,Seward,,N,N,Human
STA,,Lightning,0-25,Flat,0501-1500,008N,002W,4,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,South East,0501-1500,002N,002E,25,Fairbanks,,N,N,Natural
PRI,,Lightning,0-25,Flat,0501-1500,001N,002E,24,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,0501-1500,001N,005E,28,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,0501-1500,004N,001W,30,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,North West,0501-1500,002N,003W,17,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,1501-2500,004N,002W,11,Fairbanks,,N,N,Natural
BORO,,Lightning,0-25,Flat,0501-1500,004S,004E,23,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,West,1501-2500,002N,005W,23,Fairbanks,,N,N,Natural
PRI,,Burning Building,0-25,Flat,0501-1500,003N,001W,4,Copper River,,N,N,Human
STA,,Burning Building,0-25,Flat,0-500,015N,003W,8,Seward,,N,N,Human
PRI,,Powerline,0-25,Flat,0501-1500,001N,003E,33,Fairbanks,,N,N,Human
PRI,,Powerline,0-25,Flat,0501-1500,001N,001W,19,Fairbanks,,N,N,Human
PRI,,Other,0-25,Flat,0-500,004N,007W,23,Seward,,N,N,Human
PRI,,Vehicle,0-25,Flat,0501-1500,019N,001E,24,Seward,,N,N,Human
STA,,Recurrent,0-25,Flat,1501-2500,008S,002W,32,Fairbanks,,N,N,?
PRI,,Recurrent,0-25,Flat,0501-1500,001S,002W,15,Fairbanks,,N,N,?
PRI,,Fireworks,0-25,North,1501-2500,019N,014E,21,Copper River,,N,N,Human
PRI,,Smoking,0-25,Flat,0-500,001S,002E,30,Fairbanks,,N,N,Human
STA,,Lightning,0-25,Flat,0501-1500,007N,014W,9,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,West,1501-2500,006S,009E,23,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,0501-1500,007S,010E,35,Fairbanks,,N,N,Natural
NPS,,Lightning,0-25,West,1501-2500,021N,020E,33,Kateel River,,N,N,Natural
BIA,,Burning Dump,0-25,Flat,0-500,018N,009E,27,Kateel River,,N,N,Human
MIL,,Other (Known),0-25,Flat,1501-2500,004S,005E,1,Fairbanks,,N,N,Human
NCA,,Burning Dump,0-25,Flat,0-500,003N,012E,3,Kateel River,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,005N,009W,25,Seward,,N,N,Human
NCA,,Other,0-25,Flat,0-500,033N,033W,27,Seward,,N,N,Human
STA,,Exhaust,0-25,Flat,0501-1500,003N,001W,15,Fairbanks,,N,N,Human
NCA,,Lightning,0-25,North East,0501-1500,007N,012W,3,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,0501-1500,009S,012E,12,Fairbanks,,N,N,Natural
NCA,,Lightning,0-25,Flat,0501-1500,006S,006W,36,Fairbanks,,N,N,Natural
NCA,,Lightning,0-25,Flat,0-500,023N,075W,8,Seward,,N,N,Natural
PRI,,Powerline,0-25,Flat,0501-1500,001N,001E,9,Fairbanks,,N,N,Human
STA,,Slash Burn,0-25,Flat,0501-1500,002N,001E,18,Fairbanks,,N,N,Human
STA,,Trash Burn,0-25,Flat,0-500,017N,002E,36,Seward,,N,N,Human
PRI,,Recurrent,0-25,Flat,0501-1500,001N,003E,33,Fairbanks,,N,N,?
STA,,Lightning,0-25,West,1501-2500,026N,020E,20,Copper River,,N,N,Natural
NCA,,Lightning,0-25,Flat,0-500,024S,015W,11,Kateel River,,N,N,Natural
FWS,,Lightning,0-25,Flat,0-500,033N,072W,5,Seward,,N,N,Natural
PRI,,Children,0-25,Flat,0-500,005N,011W,19,Seward,,N,N,Human
PRI,,Children,0-25,Flat,0-500,005N,011W,19,Seward,,N,N,Human
PRI,,Children,0-25,Flat,0-500,005N,011W,19,Seward,,N,N,Human
STA,,Lightning,0-25,Flat,0501-1500,002N,013W,20,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,0-500,002S,017W,35,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,1501-2500,005N,014W,20,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,0-500,001S,002E,5,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,0-500,001N,002E,25,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,0501-1500,008N,026E,2,Kateel River,,N,N,Natural
FWS,,Lightning,0-25,Flat,0-500,004N,021E,2,Kateel River,,N,N,Natural
BLM,,Lightning,0-25,Flat,0501-1500,002N,026E,8,Kateel River,,N,N,Natural
STA,,Lightning,0-25,North East,0501-1500,002S,020E,24,Kateel River,,N,N,Natural
BLM,,Lightning,0-25,Flat,0-500,031N,024W,17,Kateel River,,N,N,Natural
NCA,,Lightning,0-25,Flat,0-500,008S,018W,22,Kateel River,,N,N,Natural
FWS,,Lightning,0-25,Flat,0-500,012S,006E,34,Kateel River,,N,N,Natural
STA,,Lightning,0-25,Flat,0501-1500,011S,016E,11,Kateel River,,N,N,Natural
BLM,,Lightning,0-25,Flat,0501-1500,022N,015W,1,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,0501-1500,023N,015W,26,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,0501-1500,016N,025W,33,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,0501-1500,006S,019E,6,Kateel River,,N,N,Natural
FWS,,Lightning,0-25,Flat,0501-1500,003N,022E,29,Kateel River,,N,N,Natural
STA,,Lightning,0-25,Flat,1501-2500,004S,020E,20,Kateel River,,N,N,Natural
STA,,Lightning,0-25,South West,0501-1500,007S,018E,11,Kateel River,,N,N,Natural
BLM,,Lightning,0-25,Flat,0501-1500,006S,018E,22,Kateel River,,N,N,Natural
FWS,,Lightning,0-25,Flat,0-500,018N,006W,1,Kateel River,,N,N,Natural
NCA,,Lightning,0-25,Flat,0501-1500,016N,008W,14,Kateel River,,N,N,Natural
BLM,,Lightning,0-25,Flat,0-500,004S,012W,34,Kateel River,,N,N,Natural
BLM,,Lightning,0-25,Flat,0-500,005N,007W,28,Kateel River,,N,N,Natural
NPS,,Lightning,0-25,Flat,0-500,028N,016W,19,Kateel River,,N,N,Natural
NPS,,Lightning,0-25,Flat,0-500,028N,017W,23,Kateel River,,N,N,Natural
BIA,,Other,0-25,Flat,0501-1500,011N,018E,18,Fairbanks,,N,N,Human
STA,,Lightning,0-25,Flat,2501-3500,001S,028E,22,Kateel River,,N,N,Natural
NCA,,Lightning,0-25,Flat,0-500,003N,013E,25,Kateel River,,N,N,Natural
STA,,Campfire,0-25,Flat,0-500,017N,001E,13,Seward,,N,N,Human
PRI,,Recurrent,0-25,Flat,0-500,001S,002W,14,Fairbanks,,N,N,?
USFS,,Play w/ Matches,0-25,Flat,0-500,005N,004W,34,Seward,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,018N,001W,34,Seward,,N,N,Human
BORO,,Powerline,0-25,Flat,0501-1500,001N,001E,18,Fairbanks,,N,N,Human
FWS,,Lightning,0-25,Flat,1501-2500,023N,025E,25,Fairbanks,,N,N,Natural
NCA,,Lightning, , , ,009N,032E,26,Fairbanks,,N,N,Natural
FWS,,Lightning,0-25,Flat,0501-1500,026N,030E,34,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,0501-1500,022N,029E,35,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,1501-2500,013N,028E,7,Fairbanks,,N,N,Natural
USFS,,Campfire,0-25,Flat,0501-1500,005N,001W,25,Seward,,N,N,Human
STA,,Lightning,0-25,Flat,0501-1500,029N,026W,10,Seward,,N,N,Natural
BORO,,Lightning,0-25,Flat,0-500,020N,004W,17,Seward,,N,N,Natural
PRI,,Trash Burn,0-25,Flat,2501-3500,021S,010E,36,Fairbanks,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0501-1500,009S,010E,9,Fairbanks,,N,N,Human
BORO,,Powerline,0-25,Flat,0501-1500,020N,005E,33,Seward,,N,N,Human
BLM,,Lightning,0-25,South West,0501-1500,011N,003E,27,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,West,1501-2500,006N,014E,36,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,North,0501-1500,011N,003E,34,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,0501-1500,005S,023W,7,Fairbanks,,N,N,Natural
PRI,,Field Burn,0-25,Flat,0501-1500,001N,004E,30,Fairbanks,,N,N,Human
STA,,Other,0-25,Flat,0-500,021N,005W,34,Seward,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0-500,015N,004W,1,Seward,,N,N,Human
FWS,,Lightning,0-25,Flat,0501-1500,020N,026E,34,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,2501-3500,008S,027E,33,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,South West,1501-2500,005S,008E,9,Fairbanks,,N,N,Natural
PRI,,Children,0-25,Flat,0-500,017N,004W,28,Seward,,N,N,Human
STA,,Children,0-25,Flat,0501-1500,018N,001E,8,Seward,,N,N,Human
PRI,,Exhaust,0-25,Flat,0-500,018N,003W,28,Seward,,N,N,Human
STA,,Smoking,0-25,Flat,0-500,001S,002W,1,Fairbanks,,N,N,Human
PRI,,Recurrent,0-25,Flat,0501-1500,001N,002W,21,Fairbanks,,N,N,?
PRI,,Slash Burn,0-25,Flat,0501-1500,001N,001W,8,Fairbanks,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,017N,002W,10,Seward,,N,N,Human
PRI,,Land Clearing,0-25,Flat,0-500,018N,001W,26,Seward,,N,N,Human
STA,,Lightning,0-25,South East,1501-2500,017N,022E,13,Copper River,,N,N,Natural
NCA,,Lightning,0-25,Flat,0-500,003N,007W,9,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,South East,0501-1500,007N,007W,19,Fairbanks,,N,N,Natural
NCA,,Lightning,0-25,Flat,1501-2500,004N,032E,27,Fairbanks,,N,N,Natural
NPS,,Lightning,0-25,Flat,1501-2500,013S,012W,32,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,2501-3500,009N,029E,16,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,1501-2500,012N,001W,35,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,1501-2500,011N,001W,9,Fairbanks,,N,N,Natural
FWS,,Lightning,0-25,Flat,1501-2500,012N,001E,30,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,1501-2500,009N,001E,1,Fairbanks,,N,N,Natural
NCA,,Lightning,0-25,Flat,0501-1500,028N,007E,1,Fairbanks,,N,N,Natural
STA,,Lightning,0-25,Flat,0501-1500,018N,002W,4,Seward,,N,N,Natural
BORO,,Campfire,0-25,Flat,0-500,017N,002E,36,Seward,,N,N,Human
PRI,,Campfire,0-25,Flat,0-500,022N,004W,35,Seward,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0-500,004S,015W,26,Seward,,N,N,Human
PRI,,Trash Burn,0-25,Flat,0501-1500,018N,001E,19,Seward,,N,N,Human
PRI,,Burning Building,0-25,Flat,0501-1500,002N,001W,1,Fairbanks,,N,N,Human
NCA,,Burning Dump,0-25,Flat,0501-1500,004N,009W,27,Fairbanks,,N,N,Human
PRI,,Powerline,0-25,Flat,0501-1500,001N,002E,24,Fairbanks,,N,N,Human
PRI,,Powerline,0-25,Flat,0501-1500,001N,002E,30,Fairbanks,,N,N,Human
PRI,,Powerline,0-25,Flat,0501-1500,001N,002E,24,Fairbanks,,N,N,Human
BIA,,Other,0-25,Flat,1501-2500,006N,001W,2,Copper River,,N,N,Human
FWS,,Other,0-25,Flat,0-500,005N,006W,27,Seward,,N,N,Human
NCA,,Lightning,0-25,Flat,2501-3500,021N,015E,22,Copper River,,N,N,Natural
STA,,Lightning,0-25,Flat,1501-2500,021N,014E,23,Copper River,,N,N,Natural
STA,,Lightning,0-25,Flat,2501-3500,023N,021E,30,Copper River,,N,N,Natural
STA,,Lightning,0-25,Flat,2501-3500,019N,023E,33,Copper River,,N,N,Natural
FWS,,Lightning,0-25,Flat,1501-2500,020N,011W,25,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,1501-2500,007N,004E,2,Fairbanks,,N,N,Natural
NPS,,Lightning,0-25,Flat,0501-1500,005N,028E,2,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,South,1501-2500,009N,031E,35,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,East,1501-2500,006S,029E,30,Fairbanks,,N,N,Natural
BLM,,Lightning,0-25,Flat,2501-3500,007S,029E,4,Fairbanks,,N,N,Natural
NPS,,Lightning,0-25,South,1501-2500,002N,021E,30,Fairbanks,,N,N,Natural
PRI,,Campfire,0-25,Flat,0-500,017N,003W,21,Seward,,N,N,Human
PRI,,Children,0-25,Flat,0-500,001S,001W,4,Fairbanks,,N,N,Human
NCA,,Smoking,0-25,Flat,0-500,007S,006E,17,Kateel River,,N,N,Human
STA,,Vehicle,0-25,Flat,0-500,017N,001E,27,Seward,,N,N,Human
NCA,,Other, , , ,015S,003W,19,Copper River,,N,N,Human
PRI,,Burning Building,0-25,Flat,0-500,001S,002W,3,Fairbanks,,N,N,Human
PRI,,Burning Building,0-25,Flat,0-500,001S,002W,13,Fairbanks,,N,N,Human
STA,,Recurrent,0-25,Flat,0-500,001N,001W,31,Fairbanks,,N,N,?
NPS,,Lightning,0-25,Flat,3501-4500,005S,023E,4,Fairbanks,,N,N,Natural
PRI,,Campfire,0-25,Flat,0501-1500,009S,010E,17,Fairbanks,,N,N,Human
PRI,,Children,0-25,Flat,0501-1500,002S,002E,24,Fairbanks,,N,N,Human
STA,,Trash Burn,0-25,North,0501-1500,001S,002E,6,Copper River,,N,N,Human
MIL,,Other (Known),0-25,Flat,1501-2500,013S,011E,5,Fairbanks,,N,N,Human
PRI,,Powerline,0-25,Flat,0-500,018N,001W,36,Seward,,N,N,Human
PRI,,Slash Burn,0-25,Flat,0-500,001S,002E,16,Fairbanks,,N,N,Human
PRI,,Campfire,0-25,Flat,0-500,004S,015W,36,Seward,,N,N,Human
PRI,,Recurrent,0-25,Flat,0501-1500,010S,010E,23,Fairbanks,,N,N,?
PRI,,Recurrent,0-25,Flat,0501-1500,001N,002W,35,Fairbanks,,N,N,?
PRI,,Recurrent,0-25,Flat,0501-1500,001N,002W,35,Fairbanks,,N,N,?
STA,,Recurrent,0-25,Flat,0501-1500,001N,001W,31,Fairbanks,,N,N,?
STA,,Campfire,0-25,Flat,0501-1500,001N,001W,31,Fairbanks,,N,N,Human
